,ID,Sobrevivente,Classe,Sexo,Idade,Irmãos e Esposos,Pais e Filhos,Bilhete,Tarifa,Cabine,Local de Embarque,Nome,Sobrenome
0,1,0,3,masculino,22.0,1,0,A/5 21171,7.25,,Southampton, Owen Harris,Braund
1,2,1,1,feminino,38.0,1,0,PC 17599,71.2833,C85,Cherbourg,Florence Briggs,Thayer
2,3,1,3,feminino,26.0,0,0,STON/O2. 3101282,7.925,,Southampton, Laina,Heikkinen
3,4,1,1,feminino,35.0,1,0,113803,53.1,C123,Southampton,Lily May,Peel
4,5,0,3,masculino,35.0,0,0,373450,8.05,,Southampton, William Henry,Allen
5,6,0,3,masculino,,0,0,330877,8.4583,,Queenstown, James,Moran
6,7,0,1,masculino,54.0,0,0,17463,51.8625,E46,Southampton, Timothy J,McCarthy
7,8,0,3,masculino,2.0,3,1,349909,21.075,,Southampton, Master. Gosta Leonard,Palsson
8,9,1,3,feminino,27.0,0,2,347742,11.1333,,Southampton,Elisabeth Vilhelmina,Berg
9,10,1,2,feminino,14.0,1,0,237736,30.0708,,Cherbourg,Adele,Achem
10,11,1,3,feminino,4.0,1,1,PP 9549,16.7,G6,Southampton, Marguerite Rut,Sandstrom
11,12,1,1,feminino,58.0,0,0,113783,26.55,C103,Southampton, Elizabeth,Bonnell
12,13,0,3,masculino,20.0,0,0,A/5. 2151,8.05,,Southampton, William Henry,Saundercock
13,14,0,3,masculino,39.0,1,5,347082,31.275,,Southampton, Anders Johan,Andersson
14,15,0,3,feminino,14.0,0,0,350406,7.8542,,Southampton, Hulda Amanda Adolfina,Vestrom
15,16,1,2,feminino,55.0,0,0,248706,16.0,,Southampton,Mary D,Kingcome
16,17,0,3,masculino,2.0,4,1,382652,29.125,,Queenstown, Master. Eugene,Rice
17,18,1,2,masculino,,0,0,244373,13.0,,Southampton, Charles Eugene,Williams
18,19,0,3,feminino,31.0,1,0,345763,18.0,,Southampton,Emelia Maria,Vandemoortele
19,20,1,3,feminino,,0,0,2649,7.225,,Cherbourg, Fatima,Masselmani
20,21,0,2,masculino,35.0,0,0,239865,26.0,,Southampton, Joseph J,Fynney
21,22,1,2,masculino,34.0,0,0,248698,13.0,D56,Southampton, Lawrence,Beesley
22,23,1,3,feminino,15.0,0,0,330923,8.0292,,Queenstown," Anna ""Annie""",McGowan
23,24,1,1,masculino,28.0,0,0,113788,35.5,A6,Southampton, William Thompson,Sloper
24,25,0,3,feminino,8.0,3,1,349909,21.075,,Southampton, Torborg Danira,Palsson
25,26,1,3,feminino,38.0,1,5,347077,31.3875,,Southampton,Selma Augusta Emilia,Johansson
26,27,0,3,masculino,,0,0,2631,7.225,,Cherbourg, Farred Chehab,Emir
27,28,0,1,masculino,19.0,3,2,19950,263.0,C23 C25 C27,Southampton, Charles Alexander,Fortune
28,29,1,3,feminino,,0,0,330959,7.8792,,Queenstown," Ellen ""Nellie""",O'Dwyer
29,30,0,3,masculino,,0,0,349216,7.8958,,Southampton, Lalio,Todoroff
30,31,0,1,masculino,40.0,0,0,PC 17601,27.7208,,Cherbourg, Don. Manuel E,Uruchurtu
31,32,1,1,feminino,,1,0,PC 17569,146.5208,B78,Cherbourg,Marie,Eugenie
32,33,1,3,feminino,,0,0,335677,7.75,,Queenstown, Mary Agatha,Glynn
33,34,0,2,masculino,66.0,0,0,C.A. 24579,10.5,,Southampton, Edward H,Wheadon
34,35,0,1,masculino,28.0,1,0,PC 17604,82.1708,,Cherbourg, Edgar Joseph,Meyer
35,36,0,1,masculino,42.0,1,0,113789,52.0,,Southampton, Alexander Oskar,Holverson
36,37,1,3,masculino,,0,0,2677,7.2292,,Cherbourg, Hanna,Mamee
